Weight_0,Weight_1,Weight_2,Weight_3,Weight_4,Weight_5,Weight_6,Weight_7,Weight_8,Weight_9,Weight_10,Weight_11,Weight_12,Weight_13,Weight_14,Weight_15,Weight_16,Weight_17,Weight_18,Weight_19,Weight_20,Weight_21,Weight_22,Weight_23,Weight_24,Weight_25,Weight_26,Weight_27,Weight_28,Weight_29,Weight_30,Weight_31,Weight_32,Weight_33,Weight_34,Weight_35,Weight_36,Weight_37,Weight_38,Weight_39,Weight_40,Weight_41,Weight_42,Weight_43,Weight_44,Weight_45,Weight_46,Weight_47,Weight_48,Weight_49,Weight_50,Weight_51,Weight_52,Weight_53,Weight_54,Weight_55,Weight_56,Weight_57,Weight_58,Weight_59,Weight_60,Weight_61,Weight_62,Weight_63,Bias
0.4179861,-0.017113071,0.44799164,-0.25933993,0.44618964,0.47950163,0.2825209,-0.27933004,0.5010612,0.27214056,-0.3810688,0.1002604,0.30535844,-0.3526452,0.20648025,0.56272215,-0.5115847,0.44478518,0.25841367,-0.08216463,-0.2782842,0.17658801,0.41937602,-0.25498068,-0.27009165,-0.15951289,0.30288246,0.4674385,-0.011473405,0.023406925,0.48925525,0.17436525,-0.4506085,0.22861183,0.086893484,0.006271705,0.30066556,0.34286967,-0.3371157,-0.20113006,0.511976,-0.1713363,-0.18062465,-0.112714276,-0.21792088,0.5493679,-0.2734907,0.5195282,0.29718718,-0.20764485,0.018248059,0.23552176,-0.22635604,0.3723758,0.17559247,0.2908035,0.442734,-0.2547893,0.22887161,0.23038018,0.005165721,-0.36500505,0.5389139,0.438779,0.28562513
0.4391248,0.49527106,0.4401427,-0.35824874,0.49497133,0.5323856,0.23325843,-0.50757706,0.43569884,0.38682726,-0.2623628,0.44011074,0.43875203,-0.26991636,0.4823622,0.40729234,-0.28895253,0.4377251,0.46891883,-0.42186162,0.07137777,0.45731246,0.33691618,-0.41148406,-0.42956662,-0.34882095,0.4411026,0.5082944,-0.45838284,-0.40940908,0.36933026,0.46377552,-0.09264319,0.2634253,-0.228354,-0.3762587,0.47931504,0.12329301,-0.24278435,-0.40857676,0.13443649,-0.15635042,-0.1800451,-0.47632435,0.5585835,0.20865428,-0.010954553,0.4740067,0.27128068,-0.2645616,0.014140322,0.5024543,-0.26707563,0.07317809,0.541186,0.25487748,0.41507897,-0.112637304,0.20131046,0.14635144,0.14696328,-0.35782292,0.5001794,0.37017068,0.23526634
0.2511616,0.16272636,0.46571872,-0.45968118,0.18419436,0.08709619,0.40938526,-0.26317278,0.22461802,0.2885394,-0.11175512,0.2987496,0.3745143,-0.10743905,0.27967548,0.1289641,-0.20981504,0.42518345,0.13796695,-0.35959217,-0.20534553,0.32402998,0.3121823,-0.21945652,-0.16428834,-0.32669568,0.10206991,0.27822092,-0.37065667,-0.4260414,0.23674737,0.3123443,-0.3100299,0.18464439,0.12559198,-0.36832133,0.3864448,0.42027682,-0.41394147,-0.105873495,0.49835372,-0.51178753,-0.35799986,-0.13596633,0.17177959,0.21157946,-0.28473702,0.3522672,0.21565898,-0.35003442,-0.03588892,0.11069778,-0.20960693,0.4497613,0.3983339,0.5305248,0.24969088,-0.45610696,0.5321364,0.4874459,-0.15561901,-0.36337754,0.23437376,0.032062326,0.28658745
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2858107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2642361
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2963001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30497587
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27501005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27996135
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17306821
